ID,name,batch,link,description,type,company
11,Tom Currier,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Tom Currier developed a deep obsession for entrepreneurship, cost reductions, and renewable energy after starting his first business when nine years old. To achieve grid parity, Currier believes that the solar industry needs a fundamental balance of systems breakthrough. He co-founded Black Swan Solar two years ago to commercialize an invention that enables dual-axis photovoltaic module tracking.",Energy,Black Swan Solar
12,Jim Danielson,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Jim Danielson is working on building a more powerful and efficient motor for electric vehicles. He has already electrified a Porsche 924S, including power electronics of his own design. He is currently co-launching Makt Systems LLC, a start-up to commercialize his research and design. Before becoming a Fellow, Jim co-founded the Electric Vehicle Club at Purdue and was president of Purdue Innovations, the university’s entrepreneurship club.",Energy,Makt Systems LLC
13,Eden Full,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Eden Full is the 19-year-old Canadian founder of Roseicollis Technologies, a solar energy start-up that deploys her patent-pending inventions in established and emerging markets. Currently electrifying two villages of 1000 citizens in Kenya, Eden’s SunSaluter is a solar panel rotating system that tracks the sun to optimize energy collection by up to 40 percent for only $10. She began developing her social enterprise when she was 15.",Energy,Roseicollis Technologies
14,Sujay Tyle,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Sujay Tyle is one of the youngest students at Harvard and is passionate about hacking cellulose to create cheap biofuels. He first worked in a lab when he was 11, interned at Dupont as a teenager, and won the grand prize at the 2009 International Sustainable World Energy Olympiad in Houston. With his older brother, Sheel, he also runs ReSight, Inc., a 501(c)(3) non-profit dedicated to helping the vision-impaired around the world.",Energy,"ReSight, Inc"
15,James Proud,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"James Proud taught himself programming at the age of 9. In his teens, he built products for companies such as Coca-Cola and Universal Music, while juggling his studies during the day. Upon graduating from the British equivalent of high school, James decided not to enroll in university and instead founded GigLocater.com, a start-up that aims to help music lovers discover more live shows.",Information Technology,GigLocater.com
16,Christopher Rueth,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Christopher Rueth thinks access to the entire Internet is a basic human right. When he was in high school, administrators put in place draconian Internet restrictions and also started logging all student emails. Upset by the school’s intrusion, Chris created a website that allowed students in his district to bypass this snooping. Now Chris wants to help emancipate information around the world.",Information Technology,
17,Ben Yu,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Ben Yu had just returned from climbing Mount Kilimanjaro when he interviewed with the Thiel Foundation. He was about to climb another mountain in China when he learned he had won. His next challenge is to build an e-commerce start-up that will revolutionize price comparison on the web. Before climbing Kilimanjaro and taking on the current leaders in comparison shopping, Ben was a freshman at Harvard.",Information Technology,
18,Sebastien Zany,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Sebastien Zany is pursuing a program to unify computation in a cohesive and elegant framework based around Haskell, with the goal of finally realizing the potential of computers and the Internet to enable people to work with information fluidly and creatively, especially on mobile devices.",Information Technology,
19,Gary Kurek,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"Gary Kurek has been developing mobility aids for physically-disabled citizens for the last four years. Seeing his grandmother weakened by cancer led Gary to invent a walker-wheelchair hybrid that can provide power to assist its user according to how strong she feels at any moment. This flexibility allows users to restore their strength, instead of growing dependent on a substitute. Gary is currently working on expanding the versatility of his mobility aids, making them lighter, foldable, and capable of navigating any home environment including staircases. Gary hails from Alberta, Canada, and is the 19-year-old founder of GET Mobility Solutions.",Mobility, GET Mobility Solutions
20,David (Jiageng) Luan,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"David (Jiageng) Luan plans to do for consumer robotics what the IBM PC did for computing. He came to America when he was 6 years old, began taking college courses at Worcester State in Massachusetts in 3rd grade, and received a certificate in computer science by the time he was 12. As student at Andover and Yale, he has been involved in robotics research for five years and now wants to create home robots that can handle an extensible array of low- to mid-level cognitive tasks in addition to physical jobs.",Robotics,
21,John Burnham,1,https://www.businesswire.com/news/home/20110524007427/en/Peter-Thiel-Announces-Inaugural-Class-of-20-Under-20-Thiel-Fellows,"John Burnham believes that the search for new resources has driven exploration, expansion, and innovation—from the discovery of the Americas to the California Gold Rush. Likewise, he believes the key to colonizing space is to make it possible to extract valuable minerals from asteroids, comets, and other planetary bodies. John plans on using his fellowship to develop space industry technologies to solve the problem of extraterrestrial resource extraction.",Space,
22,"Clay Allsopp (20, Raleigh, NC)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Clay Allsopp (20, Raleigh, NC) thinks people should be able to forget about technology and simply focus on being creative. His start-up, Apptory, helps individuals and businesses create and distribute content for touch-screen devices, using an intuitive, easy-to-understand interface.", ,Apptory
23,"Dylan Field (20, Penngrove, CA)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Dylan Field (20, Penngrove, CA) envisions a world where people define themselves by what they create rather than what they consume. Currently stopped out of Brown University, Field is working with his former classmate Evan Wallace on making better creative tools.", ,Figma
24,"Kettner Griswold (19, Bethesda, MD) and Paul Sebexen (19, Staten Island, NY)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Kettner Griswold (19, Bethesda, MD) and Paul Sebexen (19, Staten Island, NY) are stopping out of school to work on a benchtop genome synthesis device, which will allow individual laboratories and medical practices to synthesize large genetic constructs in-house for an unprecedented low recurring cost. This product would massively disrupt the fields of biotechnology and health care, fueling innovation and stimulating interest and research sector-wide.", ,
25,"Anand Gupta (20, Palo Alto, CA) and Tony Ho (19, San Jose, CA)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Anand Gupta (20, Palo Alto, CA) and Tony Ho (19, San Jose, CA) are using their expertise in biology and computer science to transform the way doctors diagnose patients. Their service will enable doctors and researchers to receive quantitative analysis of biomedical images, allowing for faster, more accurate diagnoses of complex diseases – and more lives saved.", ,
26,"Spencer Hewett (20, Bryan Mawr, PA)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Spencer Hewett (20, Bryan Mawr, PA) has an insatiable passion for inventing that extends far beyond the confines of one particular industry. As a Thiel fellow, he will focus on No-Q, a fusion of radio-frequency identification (RFID) and mobile payment technology that will eliminate both checkout lines and shoplifting.", ,No-Q
27,"Yoonseo Kang (18, Mississauga, ON, Canada)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Yoonseo Kang (18, Mississauga, ON, Canada) recognizes that society's potential for innovation and abundance can only be achieved if knowledge and the factors of production are accessible for everyone. With that in mind, Yoonseo sees open-source hardware as the key for enabling communities around the world to vastly increase their productive potential and together engage in strategic economic collaboration. To that end, he is working with Open Source Ecology to develop the Global Village Construction Set, the 50 industrial machines that it takes to build a civilization with modern comforts.", ,Open Source Ecology
28,"Jimmy Koppel (20, St. Louis, MO)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Jimmy Koppel (20, St. Louis, MO) has a passion for software engineering – and a plan to make it much more efficient. Modifying software today often involves hundreds of thousands of small, similar adjustments that require a great deal of time and money. James will fix that problem by developing new tools to automate the process.", ,
29,"Ryan Lelek (19, Schererville, IN)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Ryan Lelek (19, Schererville, IN) developed a passion for entrepreneurship at the age of 15, when he established his first “instant streaming” start-up. Now he’s dedicated to disrupting the computer industry, using new advances in hardware, software, and network technology. As a Thiel Fellow, he’ll continue to change the world by creating simple technology tools that empower people.", ,
30,"Ritik Malhotra (19, San Jose, CA)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Ritik Malhotra (19, San Jose, CA) Ritik began programming at age 8; started a popular web forum at the age of 12 that grew to over 32,000 members; and ran a web hosting and software consultancy business at the age of 13, garnering over a 600x return on his initial investment. Now he wants to provide a streamlined way of discovering, sharing, and distributing content over Facebook, Twitter, and other social media services. As a Thiel Fellow, he'll first work to build a service that allows users to share interesting media, scraped from all around the web, focusing primarily on user growth in order to build a thriving community.", ,
31,"Chris Olah (19, Toronto, ON, Canada) ",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Chris Olah (19, Toronto, ON, Canada) wants to use 3D printing to reduce the scope of scarcity. His goal: empower anyone with a 3D printer to make educational aids, basic scientific equipment, and tools that improve their quality of life. He is currently working on a project called ImplicitCAD, which is a math-based attempt to reinvent computer-aided design and make it more affordable.", ,ImplicitCAD
32,"Semon Rezchikov (18, Hillsborough, NJ)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Semon Rezchikov (18, Hillsborough, NJ) is eager to explore how synthetic biology, nanotechnology, and social network dynamics intersect. As a Thiel Fellow, he wants to develop more flexible bioautomation technologies to improve the design cycle speed, and then use those technologies to create a library of truly reliable parts – making synthetic biology more like engineering and less like science.", ,
33,"Omar Rizwan (18, East Hanover, NJ)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Omar Rizwan (18, East Hanover, NJ) wants to change the world through the control and analysis of information. Specifically, he plans to speed up progress in the field of artificial intelligence by working on the analysis of big data sets. He will aggregate large sets of data from many different Internet sources and use them to tease out trends and draw conclusions.", ,
34,"Tara Seshan (19, New Fairfield, CT)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Tara Seshan (19, New Fairfield, CT) is dedicated to improving public health worldwide, using technology, simple solutions, and community-based change. To that end, she is developing a tool that influences analysis of data, monitoring and evaluation, and public health decision making. As a Thiel Fellow, Tara will explore developing tools that enhance public health programs that can be implemented in low-resource settings.", ,
35,"Noor Siddiqui (17, Clifton, VA)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Noor Siddiqui (17, Clifton, VA) is inspired to galvanize people for the good of others. As a Thiel Fellow, she will work to give students across the globe access to upward mobility – and industries access to an untapped work force – with the goal of mobilizing one billion people in the next decade.", ,
36,"Charlie Stigler (19, Pacific Palisades, CA)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Charlie Stigler (19, Pacific Palisades, CA) has years of experience as an entrepreneur and engineer, having written the popular open-source study application, SelfControl, and founded two Web start-ups. Now he’s working on Zaption, an application that improves the usual workflow for educators and collaborators by allowing video to be integrated into interactive Web experiences and studies. He believes this technology can help solve fundamental problems, starting with that of the U.S. education system.", ,Zaption
37,"Ilya Vakhutinsky (20, Fair Lawn, NJ)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Ilya Vakhutinsky (20, Fair Lawn, NJ) wants to revolutionize the way the technology and health care communities work together. He is working to create a more open and transparent health care system, drastically lowering the cost of care and empowering patients to make better decisions.", ,
38,"Taylor Wilson (18, Texarkana, AR)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Taylor Wilson (18, Texarkana, AR) became the youngest person in history to create nuclear fusion. Since then, he has produced the lowest-cost and lowest-dose active interrogation system for the detection of enriched uranium ever developed. As a Thiel Fellow, Taylor will focus on both counter-terrorism and the production of medical isotopes for use in the diagnosis and treatment of cancer.", ,
39,"Connor Zwick (18, Waukesha, WI)",2,https://www.businesswire.com/news/home/20120612006972/en/Peter-Thiel-Announces-2012-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Connor Zwick (18, Waukesha, WI) is passionate about education – which is why he has set out to revolutionize our country’s antiquated system using technology. As a Thiel Fellow, he will focus on Flashcards+, a mobile educational platform with a base of over 1.5 million downloads that allows anyone to learn anything using crowd sourced generated content from a database of more than 400 million flashcards.", ,Flashcards+
40,"Andrew Brackin (18, London, United Kingdom)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Andrew Brackin (18, London, United Kingdom) co-founded a marketplace for designers that grew to 100,000 signups. Andrew runs Tomorrow's Web, an event for young technologists with hundreds of attendees and major sponsors. He will be working on Bunchy, a funding platform that allows organizations to raise money from their audience on their social platforms and websites.", ,Tomorrow's Web
41,"Austin Russell (18, Newport Beach, CA)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Austin Russell (18, Newport Beach, CA) has a passion for developing innovative optoelectronic technologies for industry. His projects range from high-efficiency far-field wireless power transmission to low-cost early cancer detection systems. As a fellow, Austin will be focusing on 3D depth mapping and projection of interactive holograms through a compact laser-based module.", ,
42,"Christopher Walker (20, Chevy Chase, MD)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Christopher Walker (20, Chevy Chase, MD) is a video game designer, programmer, and artist. After leaving college to start a software company, he created a game designed to improve spatial cognition. As a Thiel Fellow, Chris will focus on developing interactive software to teach technical skills like programming, music, and mathematics.", ,
43,"Daniel Zulla (19, Regensburg, Germany)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Daniel Zulla (19, Regensburg, Germany) is a software engineer who is about to introduce a secure computing architecture used for servers and desktop computers alike.", ,
44,"Darren Lim (19, Singapore)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Darren Lim (19, Singapore) came to love scientific innovation while studying in China, and remains a consumer at heart who is obsessed with cutting-edge gadgets. He is currently working on a startup to improve how we interact with technology.", ,
45,"Delian Asparaouhov (19, Salt Lake City, UT)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Delian Asparaouhov (19, Salt Lake City, UT) wants to improve health care. As a Thiel Fellow, he will work on technology to help manage disease and improve patient outcomes.", ,
46,"Diwank Singh Tomer (19, Palo Alto, CA)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Diwank Singh Tomer (19, Palo Alto, CA) stopped out of his college in India to work on an online platform for learning to code. Aside from his love of poetry, he is an exceptional hacker and engineer who was awarded the Mozilla WebFWD fellowship for his efforts to improve learning online. He has since moved to the Bay Area to further his efforts and is currently working on a collaborative learning platform.", ,
47,"Gary Le (19, East Brunswick, NH)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Gary Le (19, East Brunswick, NH) envisions a safer, cleaner, and more trustable Internet. He is working on a real-time online identity verification system for various applications in e-commerce, online communities, and collaborative consumption businesses.", ,
48,"James Schuler (19, Armonk, NY)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"James Schuler (19, Armonk, NY) started his first company when he was 12 and hasn't stopped since. In high school he founded a health care company called Eligible and attended Y-Combinator as one of its youngest entrepreneurs. Recently, James left Eligible in order to focus on a bigger market: politics. As a Thiel Fellow, James will work to improve crowd funding in order to revolutionize the campaign finance market.", ,Eligible
49,"Kevin Wang (18, Vernon Hills, IL)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Kevin Wang (18, Vernon Hills, IL) began developing games and applications when he was 9. Since then, he has moved into entrepreneurship, applying his highly technical background to solve bigger problems. As a Thiel Fellow, he aims to simplify the world of law and open source software to end the wasteful litigation epidemic.", ,
50,"Laura Ball (19, Wauwatosa, WI) ",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Laura Ball (19, Wauwatosa, WI) is researching value in neural systems. She would like to determine how information becomes important, and how important information maintains dominance over other information in order to define our conscious mind-states and behavioral responses.", ,
51,"Maddy Maxey (18, San Diego, CA)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Maddy Maxey (18, San Diego, CA) began interning in the fashion industry when she was 16 for companies like Tommy Hilfiger, Donna Ricco, Peter Som, and Nylon Magazine. After founding a popular fashion blog while in France and then winning a scholarship from the CFDA & Teen Vogue for her work, she started a clothing company of her own. As a Thiel Fellow, Maddy will focus on optimizing the clothing patterns and the enterprise software that make our current garment industry inefficient. Her goal is to make domestic production profitable by integrating software, not just hardware technologies, more fully into our manufacturing system.", ,
52,"Mark Daniel (19, Nashville, TN)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Mark Daniel (19, Nashville, TN) co-founded social goal achievement site GoalHawk in 2011. Since then, he has been building StatusHawk, a workplace accountability tool that changes the way that companies handle status reports. As a Thiel Fellow, Mark will focus on building this early stage company into a profitable and sustainable business.", ,GoalHawk
53,"Nelson Zhang (19, Toronto, ON, Canada)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Nelson Zhang (19, Toronto, ON, Canada) has always loved making things. He has been tinkering with electronics since he was 10, and designed, manufactured, and sold several hardware products during high school and college. He is currently working on a desktop fabricator for electronics, aimed at lowering iteration time and costs for hardware companies. He hopes to make the design and production of physical things accessible to everyone.", ,
54,"Nick Liow (18, Vancouver, BC, Canada)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Nick Liow (18, Vancouver, BC, Canada) believes everything is a remix and information wants to be free. Now, he's challenging copyright by building ways for creators to get paid for giving their work to the public domain.", ,
55,"Riley Drake (18, Baltimore, MD)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Riley Drake (18, Baltimore, MD) has been conducting scientific research since she was 15. She has studied immunology at Johns Hopkins University and infectious disease at Massachusetts General Hospital. During her fellowship she intends to apply physical principles to virology: using biophysics to create broad-spectrum viral therapies.", ,
56,"Riley Ennis (19, McLean, VA)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Riley Ennis (19, McLean, VA) founded Immudicon, an early-stage biotechnology company that has developed a novel cancer vaccine platform and telemetric sweat-monitoring device in order to improve diagnosis and treatment. The company was spun out of his research in high school at Georgetown University and the Sheikh Zayed Institute at Children's National Medical Center in Washington. His ultimate goal is to exercise empathy within health care to revolutionize and personalize patient care.", ,Immudicon
57,"Ritesh Agarwal (19, New Delhi, India)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Ritesh Agarwal (19, New Delhi, India) is one of the youngest entrepreneurs from India to raise angel investments. He runs OYO Inns, a chain of affordable, tech-enabled inns, and Oravel, a rising popular alternative to hotels in India. As a Thiel Fellow, Ritesh will use technology to bring affordable and standardized accommodations to emerging economies across the world, starting in India.", ,OYO Inns
58,"Thomas Sohmers (17, Hudson, MA)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Thomas Sohmers (17, Hudson, MA) is a technology geek and hardware hacker who has been working at a MIT research lab since he was 13, developing everything from augmented reality eyewear to laser communication systems. Currently, Thomas is working on developing a new computing platform that uses very low powered processors in a cluster to transform the server, cloud, and research computing industries.", ,
59,"William LeGate (18, Marietta, GA)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"William LeGate (18, Marietta, GA) is an entrepreneur and computer scientist. He taught himself programming at age 14 from online Stanford lectures and has since created more than a dozen mobile apps which have been downloaded more than 5 million times and are now used by 1 in 16 American teens. During his fellowship, he plans to change the way that we discover apps for things around us.", ,
60,"Xinyi Chen (19, Beijing, China)",3,https://www.businesswire.com/news/home/20130509005377/en/Peter-Thiel-Announces-2013-Class-of-%E2%80%9C20-Under-20%E2%80%9D-Thiel-Fellows,"Xinyi Chen (19, Beijing, China) is passionate about entrepreneurship and technology. She participated in the Tigerlabs accelerator last summer and developed prototypes for her project Helios, which attempts to make telepresence devices accessible to average families.", ,
